3	A long empty minimal modern skylit home kitchen.
4	Rows of motor bikes and helmets in a city
1	A brown and black horse in the middle of the city eating grass.
6	A woman is walking a dog in the city.
3	Cars try to maneuver into parking spaces along a densely packed city street.
3	A large U.S Air Force plain sits on an asphalt ramp.
5	a home office with laptop printer scanner and extra monitor
3	A woman walks her dog along a city street.
3	Two people sitting on dock looking at the ocean.
0	A photograph of a kitchen inside a house.
3	The old man cross country skis through the forest.
1	The sign of a restaurant in the outside of the store.
3	A sign on a building advertising an Italian restaurant.
7	A crowd of people get ready to board a bus in the city.
7	A car modified to drive in the water on a lake.
7	A younger man and an older man skiing in the forest.
8	A person on a bench and one on a wheelchair sitting by a seawall looking out toward the ocean
3	A sign for an Italian restaurant hangs outside a building.
5	People walking on a city street with light traffic.
8	A group of people are riding motorcycles on a road through a town.
9	Italian Reaffaello restaurant sign at front of building.
7	Motorists and bicyclists in a busy city square.
2	A bicycle parked next to a flooded river
0	Two horses standing in a field across the stre.et from a building
7	Young woman carrying an opened umbrella in a city neighborhood.
3	A woman walks her dog on a city sidewalk.
3	Two people on skis going through the woods.
5	A city street with people walking and vehicles on the road.
5	A crowded city street filled with traffic and bicycles.
9	A group of motorcyclists are driving down the city street.
3	A bicycle store shows two males leaning toward a bike.
0	People are waiting in a city area to board a bus.
8	A desk inside a library with a computer and several papers on it.
0	Three computer screens at a desk show a panoramic view of the ocean.
5	A city street busy with many cars driving as well as pedestrians
4	A sign for a village in Scotland with a bicycle in front of it.
5	A busy city street with a bus taxi and motorcycle.
7	A man stands with his bike in ankle deep water in a flooded city.
9	A row of park benches on the side of a green grassy hill.
8	A sculpture of a green hot rod on a city sidewalk
7	A man plays the violin in a home.
1	A door for exiting and entering the house in the kitchen.
0	A man and a boy are talking about a bicycle in a store.
4	People in a city cross in front of traffic.
3	A yellow dune buggy on display amongst other automobiles.
0	Pedestrians are strolling along a city sidestreet in a touristy neighborhood.
9	A group of people ski down the mountain slope.
7	A married couple preparing food in a house kitchen.
0	a busy city street with cars and a bus
9	The right wing of an airplane as it flies over a mountain range.
0	There is a train traveling through a wooded area in the country.
3	The city streets are dark and deserted at night.
3	A person skiing down a snowy city street.
3	A house boat along the water has bicycles on deck.
3	A man looks after a sheep on his farm.
3	Buses and motorcycles driving down a city street.
7	Four giraffes in a grassy plain with trees in the background.
5	A stone building with a clock displayed on the outside.
0	Gilded flowers tapestry pillows fresh oranges in a glass bowl and a bottle of spirits suggest Tuscan decor and home accents.
5	A person with his motorcycle by the ocean.
0	A person and dog sitting outside a building with a table toilet bowl and ladder against the building.
7	A person cross country skiing in the street of a town in winter.
5	A tall multi-story building with a large clock atop it.
2	A man standing outside of a building next to bicycles.
4	Empty seats in front of a building on a sidewalk.
7	Two bicycle riders riding in the city at night.
8	A man riding a dirt bike on a country road in a forest.
0	A mand and a woman walking their dog in the snow down a hill.
5	A home with lots of wood darkly stained.
2	A person posing next to their motorcycle by the shore.
2	A person posing next to their motorcycle by the shore.
5	A ski lodge covered in snow next a mountain filled with trees.
3	An ornate building has a clock tower near by.
2	A toilet on the outside of a building next to a parking meter.
3	A boat home sitting on a river bay.
3	A boat home sitting on a river bay.
4	The front view of a building that has a bench and chairs located in front.
9	The interior of a house with lots of wood detailing.
3	A shiny motorcycle is parked on a city sidewalk.
0	A group of women are describing a new setup for a building plan
9	Several giraffe somewhat distant standing on the edge of a wooded area.
5	A brightly colored store front with benches and chairs.
3	The sightseeing boat streams along the river joined by a plane
9	A herd of of wild animals walking around a field surrounded by forest.
5	A house boat with many bikes on a riverbank.
0	a group of people in a field of grass near a building
7	A motorcyclist in his helmet parked along side a road near the ocean
9	Two people stand outside of a very old building.
5	Benches and chairs set outside a building with cathedral doors.
3	Zebras giraffes and kudus on the run across a plain.
5	This is the outside of a building with chairs and benches present.
9	An old picture of a family on their farm.
8	An airplane flies low near a boat on a river.
2	A heritage building with big windows and next to a clock tower.
8	Man on a bicycle riding on the road next to a river.
0	Two photos-one of a stone building with red windows and one of a urinal.
8	Two people riding bikes alongside a bus on a city street.
7	Police officers riding bikes in the city at night.
3	a family stands outside their home by horses.
1	A gray car driving by a city bus on the opposite side of the street.
8	A man peddling a bike along side a lake on the road
8	A toilet is sitting outside on a sidewalk near a building.
0	A photo of a building with a clock tower.
5	A building with a black and gold clock on it.
2	A restroom urinal mounted on a green wall next to the outside of a stone building.
0	a toilet outdoors near a building and an emergency telephone
5	A large stone building with a clock face on it.
8	a car over turned on a city street
5	A crowded city street with lots of people walking around.
0	A display of a toilet and sink in a store.
2	An airplane taking off over a field next to a forest.
2	A large clock towers next to a forest filled with green trees.
7	Toilet and sink on display in a furniture store
6	A man and two women walking their dogs and hiking in the woods.
7	people on a city street with buildings in the background
7	A group of people are using a rowboat in the ocean
9	A clock is shown on the top of a building.
1	A person bicycles along the edge of the road overlooking the river.
3	Portly bicyclist proceeds along the highway beside a shallow river.
4	A motorcycle parked in front of a graffiti covered building.
2	A group of vans traveling over a bridge next to train tracks.
8	A dog on a leash tied to a motor home.
0	Diners at an outdoor patio table at a restaurant beside a city street.
3	A man stands outside a shop on the city street.
0	a person riding a bicycle near a river of water
5	A kitchen with an island and window over the sink.
8	three elderly people sit on a bench near a city map
4	A street in a down town area of an asian city.
4	A street in a down town area of an asian city.
3	A mounted police officer riding down a city street past parked cars.
0	A gentleman riding a horse down a city street.
5	A tan building with windows and a clock face on top.
8	a computer manipulated image of a man woman and children on a farm
5	A home kitchen with lots of pictures and magnetic cards on the refrigerator.
0	A man rides a horse down a city street.
9	An overturned car at the intersection of a city street.
0	a girl sitting at a kitchen table in a home
5	A store filled with bathroom equipment and accessories.
7	A group of people in the woods with dogs.
7	A jumbo jet plane in flight with a city in the background.
9	A row of parked motorcycles outside a store.
0	A little girl sitting at a dining room table in a house.
2	A plane parked next to a truck next to a house.
9	A narrow city street is full of shops and people.
4	Motorcycle parked in front of a building with graffiti on it.
7	An older floor light sits deserted in an abandoned hospital.
4	Family poses in front of their house with horses next to them.
3	A clean kitchen inside a home during the day.
5	A motorcycle parked outside a building with graffiti.
0	A bus driving down a street in a small city.
8	A motorcycle is raised on a jack inside a house.
7	And old lamp in an deteriorating abandoned building.
3	A child sits at her kitchen table at home.
7	A street intersection somewhere in France near a heritage building.
8	Pottery is displayed on a shelf in a building.
3	A person wearing sun glasses and blue jeans sitting on a rock by the ocean.
7	An old cement wall in a home is decorated with garland.
9	Kitchen and dinning room view of a house.
6	Three people standing in a wooded area walking three dogs.
9	A truck and an airplane parked outside of a home.
7	Two men sit on park benches in a city street scene.
7	A generator light in a dirty abandoned building.
9	Large number of motorcycles riding down a city street.
8	close up of a person riding a bike on a city street
9	Abandoned equipment sits amongst the ruins of an old building
5	China Airlines plain on the ground at an airport with baggage cars nearby.
4	A cat sitting on a hard wood floor in front of a large library of books.
5	Two old hospital beds with a nurse mannequin standing between.
5	A an demolished building with equipment left there.
5	clos up of a street sign with  building background
4	A parked black motorcycle in front of a brown house.
2	a motorcycle parked next to a building with graffiti
9	A clean store bathroom set of hand washing sinks.
8	A can walking on a railing in a home painted yellow.
3	Several people are paddling a paddle boat on the lake.
0	Two hospital beds sit ready for patients beside a mannequin displaying a nurse's uniform.
9	A restroom hanging off the side of a building over a mountain.
9	A restroom hanging off the side of a building over a mountain.
3	Two men sitting on separate city benches at a park.
8	A bicycle is sitting on a shelf in a store.
0	A man riding a dirt bike through a desert field.
7	A man poses on his motorcycle in front of the Golden Gate bridge.
8	An older woman walking behind a bus on a city street.
5	A motorcycle sits beside a wooden building with windows.
6	A tabby house cat walking all over it's owner.
4	A red fire hydrant between two trees in front of a building.
5	Man sits on his parked motorcycle with body of water and bridge behind him.
0	three bicycles are parked against a fence a car and building
7	this is an image of several motorcyclists and walkers in the city.
9	the frontal facade of an old Gothic styled building.
2	A green mountain bike sitting next to a bridge as a train passes by.
2	A green mountain bike sitting next to a bridge as a train passes by.
3	A large kite flying over a desert-like setting.
0	A truck and a propeller plane are parked near a house.
7	Watermelon and plates sit on a kitchen island in morning
3	Small fishing boat is sitting on a busy city street.
0	A road leading to a bridge with a stop light.
4	A red broken fire engine in front of a building.
3	An old building has stone arches and wooden doors
1	People and bikers on the side of city street with many motorcycles parked at the curb.
0	A road with a red light indicating whether to cross a bridge or not.
9	A local hero rides through the streets of town on his motorcycle with stuffed animals.
7	A man rides a silver motorcycle down the street in town.
4	A red hydrant on a snowy sidewalk in front of a brick building.
3	
3	
3	A woman is holding her kite on the beach shore.
